date,open,high,low,close,volume,y,x0,x1,r1,x2,r2,x3,r3,x4,r4,x5,r5,14-day RSI,MA-2,MA-3,MA-5,EMA-2,EMA-3,EMA-5,14-day MFI
25-Apr,165.91,166.51,153.85,154.46,6820332362,0,154.46,156.35,-0.0133,158.43,0.0072,157.3,0.0134,155.2,-0.0439,162.17,0.0083,30,157.39,157.36,157.89,157.56,156.85,158.3,36.95
26-Apr,154.58,158.03,152.09,156.35,7505283355,0,156.35,158.43,0.0072,157.3,0.0134,155.2,-0.0439,162.17,0.0083,160.82,-0.0081,20.63,157.87,156.98,158.78,156.69,158.26,159.3,36.41
27-Apr,156.27,160.59,155.62,158.43,5863109118,1,158.43,157.3,0.0134,155.2,-0.0439,162.17,0.0083,160.82,-0.0081,162.12,-0.0353,27.56,156.25,158.22,159.52,158.41,158.98,160.78,27.67
28-Apr,158.5,159.57,157.13,157.3,5379894433,1,157.3,155.2,-0.0439,162.17,0.0083,160.82,-0.0081,162.12,-0.0353,167.95,0.0237,21.99,158.68,159.4,161.65,160.23,160.4,161.77,21.16
29-Apr,157.29,158.33,153.19,155.2,6053776253,0,155.2,162.17,0.0083,160.82,-0.0081,162.12,-0.0353,167.95,0.0237,164.03,0.0035,18.64,161.49,161.7,163.42,161.61,163.34,163.37,19.95
30-Apr,155.17,162.43,155.17,162.17,6275803460,1,162.17,160.82,-0.0081,162.12,-0.0353,167.95,0.0237,164.03,0.0035,163.45,-0.0548,12.89,161.47,163.63,163.67,164.19,163.92,165,18.32
1-May,162.19,164.06,159.66,160.82,5789172433,0,160.82,162.12,-0.0353,167.95,0.0237,164.03,0.0035,163.45,-0.0548,172.65,0.0167,11.37,165.04,164.7,166.04,165.22,164.54,166.49,16.51
2-May,160.85,162.94,160.06,162.12,6044171062,0,162.12,167.95,0.0237,164.03,0.0035,163.45,-0.0548,172.65,0.0167,169.8,-0.0067,24.09,165.99,165.14,167.58,164.58,166.96,168.13,32.35
3-May,162.08,170.07,161.08,167.95,7299410672,1,167.95,164.03,0.0035,163.45,-0.0548,172.65,0.0167,169.8,-0.0067,170.95,0.0039,26.72,163.74,166.71,168.18,167.25,167.71,168.35,38.62
4-May,167.89,170.65,161.79,164.03,6658100049,1,164.03,163.45,-0.0548,172.65,0.0167,169.8,-0.0067,170.95,0.0039,170.29,-0.0166,22.46,168.05,168.63,169.43,169.67,169.6,169.78,33.2
5-May,164.02,165.4,159.7,163.45,5938415562,0,163.45,172.65,0.0167,169.8,-0.0067,170.95,0.0039,170.29,-0.0166,173.14,-0.1153,27.73,171.23,171.13,171.37,170.83,170.81,175.09,40.32
6-May,163.34,175.76,159.99,172.65,7540096853,1,172.65,169.8,-0.0067,170.95,0.0039,170.29,-0.0166,173.14,-0.1153,194.3,0.0366,26.06,170.37,170.35,175.7,170.45,171.13,177.32,38.63
7-May,172.43,180.39,169.69,169.8,8411140170,0,169.8,170.95,0.0039,170.29,-0.0166,173.14,-0.1153,194.3,0.0366,187.33,-0.0496,30.36,170.62,171.46,179.2,171.56,177.59,181.69,41.16
8-May,169.9,172.18,166.41,170.95,6416569598,1,170.95,170.29,-0.0166,173.14,-0.1153,194.3,0.0366,187.33,-0.0496,196.85,-0.0982,29.91,171.72,179.25,184.38,181.04,182,189.06,46.21
9-May,170.95,172.88,167.25,170.29,6546914198,0,170.29,173.14,-0.1153,194.3,0.0366,187.33,-0.0496,196.85,-0.0982,217.15,-0.1294,29.81,183.72,184.92,193.75,187.28,188.89,201.47,44.46
10-May,170.31,175.89,168.99,173.14,8036919053,0,173.14,194.3,0.0366,187.33,-0.0496,196.85,-0.0982,217.15,-0.1294,247.15,-0.066,33.11,190.81,192.83,208.56,192.53,199.21,216.86,43.25
11-May,173.14,203.47,173.14,194.3,12578331654,1,194.3,187.33,-0.0496,196.85,-0.0982,217.15,-0.1294,247.15,-0.066,264.01,0.0798,27.66,192.09,200.44,222.5,203.06,213.77,224.49,43.4
12-May,194.16,201.88,183.65,187.33,10326050090,0,187.33,196.85,-0.0982,217.15,-0.1294,247.15,-0.066,264.01,0.0798,243.76,0.0383,28.25,207,220.38,233.78,225.09,233.59,232.44,42.8
13-May,187.42,205.1,185.31,196.85,10367149039,0,196.85,217.15,-0.1294,247.15,-0.066,264.01,0.0798,243.76,0.0383,234.6,-0.1078,32.44,232.15,242.77,241.33,247.89,244.74,243.56,49.41
